,SquareFeet,Bedrooms,Bathrooms,Neighborhood,Price
10406,2080,2,3,2,176188.4411734366
34394,1950,3,1,0,117139.58058455544
7461,1701,2,3,1,162217.55754746305
44574,1676,3,1,1,128015.95369384444
8609,1657,5,3,1,168968.33844303357
18729,2685,5,1,0,324484.9933217677
32231,1025,3,1,2,126503.63396755552
1724,2858,5,1,2,227559.8727244456
13653,2078,2,3,1,241134.90831543045
3591,2992,3,1,0,324707.6580344973
20181,1048,3,1,2,113418.95823388157
23511,2226,2,1,2,243241.125365763
33322,1685,5,1,1,139375.31380165071
32181,1322,5,3,0,112705.61095421834
22657,1653,2,3,0,343641.7503754847
20218,2309,2,3,1,309796.0100838141
6979,2055,4,3,0,270949.3197223844
42903,2734,5,2,0,294016.28611918987
2571,1970,2,3,1,268374.3191763203
35359,1356,4,2,2,246894.4544222372
44961,1136,5,1,0,80208.08282228129
26980,1526,3,3,1,168276.31589339644
46008,2953,3,3,2,351321.07563936635
43733,2056,5,3,1,230898.659111754
20286,2922,4,2,0,237273.8013109261
46912,1545,3,1,2,301104.05455356784
3625,1301,5,1,2,82347.26905786502
2352,1946,4,2,1,150741.44481378322
31317,2596,3,2,1,286498.7276333602
7544,2073,5,1,0,230607.77684772623
35937,1015,2,3,1,140208.71007819512
19388,2479,3,3,0,331056.76678049355
11684,2008,3,2,2,177715.09254369987
44405,2951,4,3,2,314637.4664472793
36189,2141,4,3,1,230950.21281664763
26590,2029,4,2,1,213527.82243805996
25776,2959,5,2,0,242668.83734351367
30597,1210,3,3,2,236703.7406810861
48163,1039,5,2,0,18659.476781287856
18015,1895,4,2,2,191534.34399106711
6562,1383,4,2,1,115790.83594961322
46355,1191,4,3,0,77119.23324314432
11864,1858,2,1,2,181943.27189717436
35507,1247,4,3,2,167975.73038049246
31774,2210,3,3,2,263602.3209660509
19386,1463,2,3,2,208786.07754390163
32759,1612,5,2,1,251253.00278465735
21045,1871,5,3,0,262528.06000299426
41613,1364,2,1,2,134477.80233384526
732,1775,4,3,1,197440.8406320433
33483,1318,5,1,1,224703.818811496
30848,2224,4,3,2,148845.9975132527
7856,1440,2,3,2,225947.25858144244
14725,1166,5,1,2,212620.6584340261
31589,2578,5,1,2,303960.85144657805
11850,1730,5,3,0,235250.59144566744
38648,2025,3,2,1,236399.2248565489
11999,1923,3,3,2,175027.3475940599
44869,2633,5,2,0,282447.10413087683
2110,2403,5,2,1,373622.3912979551
13207,1892,5,2,1,217904.4164182082
42670,2515,3,2,1,348494.075395742
47446,2318,5,3,2,233317.7773445986
2055,1758,2,1,0,152535.258121175
1057,1050,4,2,1,218059.03265432865
33609,1062,5,2,1,70417.06281070162
46066,1960,5,2,0,233495.99155966967
43404,1292,4,1,0,100939.74318498975
48949,2835,3,2,2,343695.7543574376
3809,2136,5,3,2,270464.4600579075
33155,2411,2,2,0,197678.01582795547
2076,1376,4,3,0,184141.1526054148
43991,2486,5,3,2,307700.4435953008
12432,2451,3,1,1,309366.5870476823
28672,2993,4,1,2,311396.76636840875
39875,2493,4,2,2,306127.80679688725
21600,2064,3,3,0,318457.4163880211
15730,1890,3,2,1,218287.4873126564
39118,2500,4,2,0,265912.0566892248
34449,1057,4,3,2,170958.678321428
28547,1224,3,3,2,137779.2887580056
4566,1935,3,3,1,218435.00823129408
2685,2851,5,2,2,296891.4356187014
15577,2138,4,3,0,181225.30831681733
25282,2599,2,2,1,284241.8123796912
2282,2548,5,3,1,283920.30037374987
26469,2949,4,2,0,356602.46548347134
9850,1329,5,3,1,116095.6533641849
20981,1551,3,2,2,114437.43046996968
30636,2232,3,3,1,184789.1673804008
46250,2166,5,1,2,241223.3517609352
69,1241,3,2,2,199373.18209909197
2196,2418,2,2,0,256814.67096191423
36691,2382,2,2,1,241056.25321548613
11430,1380,5,1,1,224417.30774587297
9860,1651,3,3,1,230167.32304973612
46015,1895,3,1,0,212882.20190189444
4006,2080,3,2,0,288182.2376202394
28866,2508,4,3,0,308884.124577212
49497,2734,5,1,1,313860.64467028057
35394,2729,3,3,0,288431.66762003634
6669,2327,4,3,0,224392.6390868607
41953,2417,5,3,0,281709.6902690283
30598,1564,4,3,0,251259.29882123895
15046,1516,3,2,0,217119.811486243
35009,2418,2,2,0,337031.7228526836
37057,1653,3,1,1,229834.25325211496
44531,2605,5,1,2,293209.28955503606
5513,2590,5,2,1,345817.29673190275
5516,2626,4,1,2,267011.7138579573
29675,1314,4,1,0,160153.49839712758
13739,2778,5,2,1,204047.00793826932
20948,2511,2,2,2,362962.5592057832
25626,1034,3,2,0,153829.78601385234
35628,1255,2,2,0,132214.29152132632
242,2408,5,2,1,349887.387165537
11657,1555,2,2,1,248801.2311978056
42718,1100,3,3,1,118206.89093112468
17668,2487,4,1,1,271098.9639352052
43915,2308,2,1,0,249574.2936245781
14678,2526,2,2,0,153572.44536293353
30,1276,4,1,0,104747.33458904953
42747,2055,3,1,0,231046.91917489655
10965,1207,3,2,0,179166.58110529397
27854,2223,4,3,2,248296.80978353423
34576,1493,3,3,2,128788.38500327316
47114,1338,3,1,2,144951.370206152
44493,2599,4,3,1,315717.528150808
12056,1967,4,3,1,171830.80210371374
11626,1165,5,3,2,211568.4107854061
21373,1229,2,2,0,138308.2950926958
20354,1302,4,3,0,118957.35323763185
13466,2986,5,3,1,297495.3400506958
21056,2104,2,1,1,313932.8696155046
43580,1622,5,2,0,143845.41884837835
24253,2486,3,3,1,323121.9154345739
6918,2361,3,3,0,282583.831086116
45377,1919,3,3,2,152615.71809864126
13836,2126,3,2,2,204134.40032751576
47084,1653,3,2,1,202220.44748927176
35154,1738,5,1,2,301935.8546348969
34583,1101,5,2,0,101577.63704630308
21226,2549,4,1,2,298743.1052047322
35770,1900,5,3,2,176332.67243163593
20534,1835,5,2,0,268785.61806935683
3960,1983,5,1,0,208323.6119075167
46902,1020,5,2,2,165977.15788634605
45808,2878,4,1,0,309543.58292800246
11989,1243,2,1,0,216422.0262332716
22660,1291,2,3,1,111399.28852217137
33270,1469,3,1,0,249765.66774774864
10134,1877,2,2,2,142263.59698513278
11780,1999,3,3,0,161485.54676083304
8504,2435,3,2,0,304098.2912688046
9052,1565,5,1,1,116311.3744183832
6557,1790,3,1,2,186881.36298019424
16729,2494,4,1,1,303047.2929934401
4440,1950,2,2,0,127287.94310584688
13100,2557,4,2,2,282837.6070113348
43279,2307,4,1,1,332303.5316678209
44541,1698,2,3,2,107279.97994905309
24374,2024,4,3,0,186801.156271414
39145,2640,3,2,1,374355.3501127491
19822,1440,2,2,2,239144.63447774985
43381,2836,3,2,2,291178.3485372015
9219,2511,4,2,2,348522.56698375114
49101,2503,5,1,0,243941.52114444677
2594,2835,5,2,2,338458.6768382403
20255,1421,2,2,0,122054.06657999226
18260,2887,5,3,2,343832.9924479468
36537,1185,2,3,1,173645.86879321636
3953,1020,3,1,0,128991.81655044672
27344,1724,5,3,0,195084.24285234004
43902,1232,5,1,0,86011.80492357806
3793,2140,5,3,2,199300.16522124395
32488,1987,5,1,2,186428.263492429
43919,1244,2,3,1,170288.29712186157
37166,2140,3,2,2,89419.22722495176
6881,1905,2,2,0,253999.05765850216
20362,1243,5,3,1,109456.15795418112
40641,1239,3,3,1,172661.47811939736
2276,2741,5,3,2,330331.8326758408
46127,2055,4,2,1,191158.6650482996
1883,1028,5,1,1,147017.76880168886
38971,1431,4,1,1,157287.95909599314
11658,1355,3,1,2,235061.8616718425
33765,1026,4,2,1,166769.9336332674
8370,1188,4,1,0,133428.926504803
17849,2466,3,1,2,173271.23482898343
19753,1534,3,2,0,194668.183666286
3288,1821,2,1,0,221151.911203649
10822,2633,4,1,1,343510.5765001611
22260,2340,2,2,2,300033.4730010916
8005,2711,3,2,1,327623.54976178514
46909,2663,5,3,2,177711.76996091212
30587,1017,3,1,0,115117.4256825514
34889,1311,5,2,0,98423.00029194725
13251,2088,3,2,1,223524.6294797497
41045,2807,2,1,1,235371.64016341532
31472,1338,3,2,2,187407.89660649464
17147,2594,5,2,1,287980.5703305956
24925,1963,5,3,1,155256.51480996696
30536,2540,4,2,0,155511.15438582218
45773,2420,5,3,1,269429.3628849437
19631,1007,4,2,1,271104.48324216635
24597,2588,3,3,2,268524.8618940821
29769,2339,3,2,2,209737.60223015572
48177,2141,5,3,1,258612.5030029071
49949,2854,2,1,2,244392.69789378764
19605,2910,2,1,1,277952.802320389
13607,2355,3,1,0,160372.84340147692
12738,2336,5,3,2,227906.3115824113
45752,1642,3,1,2,268590.45930088614
9908,2413,5,1,1,238674.28738308055
30272,2272,2,3,2,259712.36452616652
1009,2142,4,2,1,161743.42682973482
9398,2703,5,1,1,284511.62884312426
38785,2937,4,2,2,385762.1770706432
27249,1805,4,1,1,250269.0082197358
14584,1143,4,3,0,80101.69186131746
13472,1417,3,1,2,191483.24740925676
27788,2873,4,3,2,324768.11218701006
36374,1346,4,1,2,153315.68307363332
20340,1696,2,2,2,217669.9742804153
49473,2849,5,2,0,354740.32233668905
10026,1089,3,3,2,129335.7330742479
45969,2269,5,2,0,317311.8040041152
2385,1988,5,3,1,194819.3057648569
12748,2446,2,3,0,259310.94118848385
21087,1063,5,1,1,164801.06539515563
30344,1892,2,3,0,252405.7228102256
41636,1301,4,3,0,284844.501890717
21733,2036,3,1,1,149329.44844647296
36361,2098,5,3,2,313175.8212801651
36464,2560,4,3,2,290462.549396111
40346,2992,2,1,0,318287.1631145311
2267,1671,3,2,2,172812.03693289906
47101,1050,2,2,0,38518.22881958242
5782,2538,2,3,0,326465.8255949792
7330,1182,2,3,0,154750.7632359577
19244,2055,4,3,1,275759.2594248222
11298,1719,3,2,0,164647.67837557304
11978,2636,3,2,2,366307.68051095866
28443,2466,2,1,1,308614.9682076708
21996,1304,2,2,2,189175.5077151413
6054,1366,3,1,1,162569.1521282309
9293,2858,5,2,1,295478.7387266788
1351,2433,5,3,2,221513.4583150833
29439,2423,4,3,2,229470.1875668058
27413,2751,2,3,1,293746.80433953344
46381,1047,5,1,1,83804.91825923981
44947,2263,5,3,0,281320.88822337025
37178,1212,2,3,1,145815.88617680315
29966,2755,3,2,0,287717.31883491995
28296,1571,5,3,2,196741.6735087342
46861,1947,2,3,2,196368.70330888336
3476,1231,5,2,2,203542.4250016544
2314,1915,5,3,0,215103.30748261305
43611,1133,4,1,0,158803.6545611123
35232,1897,4,1,1,229672.27587241583
20299,2826,5,1,1,294857.68200806505
27334,1725,5,1,2,152463.20761979336
31665,1131,3,1,0,169812.71290268507
31008,1299,3,3,2,126980.9205017752
34284,1364,3,1,2,93510.08002060997
39238,1868,5,3,2,152450.8521385918
47189,2271,4,1,2,248454.69985840368
45657,2453,3,2,1,339215.93613777834
22617,1896,2,3,1,234020.48015939497
649,2308,4,1,0,343733.4612602183
37474,2887,3,2,2,322150.6946918943
16334,1837,5,2,0,163399.3090534898
23871,1627,2,3,2,300690.42426742084
8974,1978,2,2,1,243515.2969415364
23045,2687,4,1,1,297565.7527882076
28076,1446,5,2,0,212955.48454456648
10790,2607,5,3,2,299328.47904415807
46198,2987,3,3,0,386375.012959791
19572,2872,2,3,0,252629.44209711425
14201,1804,4,2,2,196471.7527933984
8247,1327,2,2,0,228176.32781082232
17491,2202,3,1,1,195695.5446859172
35871,1204,4,3,1,230508.772847439
35799,1876,4,3,1,232481.2535085231
10789,2884,2,2,1,373978.14166167495
34171,2864,3,3,1,358898.3321211378
16856,2906,5,3,1,351938.30337103724
25220,2828,2,1,0,264067.9672695872
48209,1158,5,2,1,176980.1109535275
35284,1393,3,3,2,133234.59824651608
21869,1151,5,3,0,133317.3503585881
39978,1756,5,3,0,199495.18445229196
49745,1499,2,1,1,237063.8021885
40183,1704,3,2,1,230998.17021309657
19548,1784,3,3,0,142771.10697851187
40415,1771,5,1,0,171223.27242595487
38702,1116,5,1,1,178910.26027831383
16682,1553,4,1,0,86340.36032912206
15154,2340,3,1,0,228983.2910095208
44590,1126,4,3,0,112454.55885147736
12283,1708,2,2,1,184988.6208532949
40270,2420,4,3,0,336444.60072761687
22925,2809,3,3,0,277054.0774234842
764,2571,5,2,1,239857.87116430115
9137,2799,4,3,0,303887.64276132063
3850,2872,3,2,2,351824.7360433196
28648,2983,4,2,2,373478.536637667
48390,1321,4,2,2,163305.9766537944
40652,1525,3,1,1,108487.74182089511
39453,1400,2,1,2,125450.81529301908
43691,2610,2,3,1,263875.29041618947
5878,1139,5,1,2,158604.1135965066
47394,1383,3,3,2,179121.814881341
48429,1605,4,2,1,215018.80855931735
9957,1454,3,3,1,97424.34256626804
49846,1601,5,3,0,157693.37954434793
28096,1957,4,3,1,153028.85668833816
35814,2652,5,1,0,217468.2548605189
38843,1419,3,2,0,217114.5015361688
31727,1729,5,3,1,180728.27490508533
18788,2412,3,2,0,318961.46346181125
44650,1900,5,1,1,164637.2512489137
41781,2764,4,3,0,296736.7915383766
40423,2322,4,3,1,301643.26010474545
13569,2166,4,3,1,153862.80810774275
47528,2366,2,2,2,148186.18149226398
8933,2781,5,2,2,274572.2880043605
16041,2536,4,1,0,255777.836994959
21827,1962,4,3,0,317796.7315327064
23967,1427,3,2,2,139399.2303711949
13535,2539,5,1,1,208490.05034551385
4447,1213,5,2,1,210426.65429121343
26255,1730,2,3,1,170000.8306185287
36335,1555,5,3,1,177150.06522361774
43103,1660,4,2,0,286771.71073938167
19024,1999,4,1,0,171350.11258292844
32829,2071,3,2,1,281421.5328497413
42275,2934,3,2,0,246377.3934275577
41143,1140,2,2,2,103362.616910051
39495,1683,3,1,2,114585.93195761212
11249,2252,2,3,1,230013.70260664556
36293,2716,3,1,2,242983.7054282681
11888,2311,4,2,2,273292.2810004955
165,1406,4,2,1,148891.4193350198
11525,2997,2,3,0,230472.2056714697
36276,1899,3,1,2,178080.45538246265
41173,1332,4,3,1,133786.52867483237
22556,2795,3,2,2,241818.83290034308
47049,2010,2,3,2,225398.3496757729
25759,1381,2,2,2,117791.78261879364
42473,2780,3,1,0,311386.3468570573
44371,2205,3,3,0,365617.2368940612
5556,1115,5,1,0,123758.36679485536
46191,1032,5,2,0,161421.65462902846
45650,2872,4,1,0,372488.0082750652
12581,1220,5,2,1,65981.40141970242
4130,1965,4,1,2,316948.7097745721
12482,2132,2,3,0,202928.0971036707
21136,2566,3,3,1,250565.69178922268
27547,2612,3,2,0,284881.1431356889
31052,2938,4,1,1,328005.41185586294
38791,2989,3,3,2,367637.1704220237
19451,1311,5,3,2,208383.9391162588
42755,2116,5,3,0,279516.7716627618
40092,2854,4,3,2,252046.3366468492
25935,1225,3,1,0,89162.24810547364
41083,2155,3,3,1,193887.0239578528
46784,1493,3,1,0,152055.92860592256
48966,2372,4,3,2,245241.80715048063
41232,1506,4,3,1,190654.31625651495
18571,2789,3,1,2,352617.30897037307
11796,1168,2,1,1,75362.95556117571
7161,2390,5,3,0,321254.1438015034
49552,1833,3,1,1,92173.79335012478
17653,1111,3,2,1,137766.99824481574
40411,1876,5,1,0,204584.97505890383
48049,2476,5,1,1,269075.1980160941
48386,2988,2,3,0,175620.49982828763
1945,1274,2,2,1,12663.607319372051
44433,1875,4,3,1,187440.08411725028
30324,2290,4,2,1,301326.70811750286
6466,2882,5,2,0,357769.4695248327
4449,2745,2,1,0,275684.0461302115
15520,2717,3,1,0,329769.584249863
46190,1106,4,1,2,93736.68225532722
8123,2668,3,3,2,186477.03137186935
13298,2616,5,2,2,394068.8743916655
31358,2926,3,1,0,326124.4782837703
39795,2250,2,3,2,280112.054720463
11386,1682,3,3,0,161098.06573163485
17759,2964,2,3,1,317835.04055191285
18705,2291,3,2,0,294940.1128123982
20420,2285,5,1,2,266714.7679856415
41031,2042,3,2,2,177881.7717311214
38901,2007,4,2,0,164991.63382162811
3487,1078,3,1,2,57658.96128770101
39044,1078,4,3,2,112127.11156036626
10850,2210,3,1,2,242969.31069364425
35058,2348,5,3,1,268705.70234837086
403,2496,4,1,2,277449.0163566118
31637,1011,5,1,2,160183.38787294118
31710,2573,4,1,2,277355.27313031576
46358,2244,5,1,1,265342.7996902914
47852,1888,4,3,1,294291.4197532608
11414,2894,4,3,2,422085.93543665286
6820,1438,3,1,1,193372.26989961008
48183,2195,5,3,0,174807.4408325785
44381,1923,2,3,0,174613.19705248988
1348,2323,4,3,0,328992.56340750004
49727,2022,2,1,0,267934.90675667854
2621,1158,3,3,1,59109.44627790061
158,1200,5,3,1,156394.27348181067
26657,1647,5,1,2,140167.4340599076
9456,2067,2,3,1,175215.6889293787
8410,1267,4,1,1,162299.25784681848
12410,2126,4,1,0,277523.8644648134
15697,2513,3,2,1,242420.45378227872
13853,2038,3,3,1,313918.226255905
12659,1203,2,3,0,60625.73443483113
16187,1983,5,3,2,308516.22359244584
21685,1240,5,1,1,104634.23289698902
39767,2991,5,2,2,330507.69691169343
49212,1517,3,2,0,183638.39917732571
28208,1523,5,2,2,194501.85480018283
15963,1862,5,3,1,230633.3553019355
18993,2621,2,2,1,302257.102245319
16612,2300,4,1,0,303737.44647631655
44927,2420,4,2,0,298953.79422033887
26215,1832,2,1,0,216986.02713003184
37698,2512,5,2,2,226356.69588078756
17607,2040,5,3,2,215514.59562834527
16392,1733,2,1,0,113485.60039812644
41830,1128,3,1,2,134408.10758582412
29903,1946,4,2,1,221345.13308043376
19508,1198,3,3,1,49660.61528946746
36191,1602,4,3,0,124359.069977046
1633,1663,5,2,1,193529.609906036
1176,2028,4,2,0,268956.6720129476
30729,2751,5,2,0,336905.9810534899
39257,1809,5,3,1,137492.84570106852
17,1871,4,2,1,172989.80490101498
42825,2198,4,2,0,277644.62315622624
8829,2935,4,1,0,354287.0875976862
48053,2612,3,1,0,315633.3065881091
26094,2832,3,2,2,231877.36249542653
11894,2089,4,1,0,352029.73223588755
11353,1061,5,1,0,185898.5862942809
22336,2921,5,1,1,358975.47293750977
13587,2779,4,3,2,340920.1759241625
41066,2250,4,3,1,347771.7565889738
8284,1304,4,1,0,166435.65872836334
24704,2316,2,1,2,208763.33704556225
8648,2089,4,1,0,195922.590843062
45385,2261,4,3,0,264150.3001040671
12517,2554,2,3,0,281511.3805732458
20678,1135,3,3,1,105420.73743531664
7308,2218,5,1,2,269473.8671998398
16828,1659,2,1,2,167387.544134293
2604,2082,5,2,1,232649.07493686443
14261,2682,5,3,2,257513.61252586724
43804,1621,3,3,0,208578.6561592437
23235,1520,2,2,2,127400.01003127896
1054,1456,2,3,1,102686.51248001643
30020,1351,2,1,1,242124.33146969948
31764,2429,4,2,2,260633.3864145707
33665,1647,2,1,1,84599.00223111214
3069,2249,2,1,0,162855.15837391693
22400,2939,2,1,1,317839.6001584656
2345,1028,3,2,2,90427.33681439978
16763,1756,3,2,1,139449.53209388503
47387,2065,2,1,2,277883.4665751
10072,1638,5,3,1,177920.512148352
38716,1220,5,1,2,158338.15524493044
22986,1704,4,2,1,211485.41917295093
12519,2527,5,1,1,262552.48394390225
18493,1252,5,1,0,226902.7776477917
18470,1278,5,1,2,152468.52156003623
30003,2966,4,3,2,313402.2034285577
16667,1968,3,1,2,188066.41328806663
14744,1528,5,1,2,163086.21770404748
28000,2292,4,1,0,262810.0076053768
18361,2673,4,3,2,292590.6432493258
23978,1092,3,1,2,122537.45274742492
36008,2168,5,1,0,193536.5523809245
9477,2743,3,3,2,287974.46869785985
16492,1386,3,3,1,178386.72025182395
49479,2682,4,3,0,215123.0261382032
32092,1780,2,2,0,240120.57908853417
28370,2512,4,2,1,281553.6695178955
28346,2327,3,1,2,253866.13581960677
27697,2681,4,1,1,280697.91801099374
6475,1670,4,3,2,256260.49760479855
37108,1302,3,3,0,237259.239792593
45965,2833,3,2,2,316635.0660995952
27722,1076,2,2,1,65057.272892798544
2375,2107,5,1,2,172102.92830851825
38168,1031,3,1,0,229672.6913173753
33694,2969,3,2,0,301778.4473328189
32966,1017,5,2,1,153137.66428779217
44642,2764,5,1,1,292998.1831957764
11403,2588,2,1,2,245645.47554113573
44436,2957,2,2,0,305763.9919595925
37726,2846,4,3,2,359092.9098476474
22338,1630,2,3,0,121378.90881135104
21978,1132,2,3,0,99583.60063490464
1065,2823,5,1,0,400579.3722128632
46107,2571,5,2,2,303690.14489091
42061,2850,5,1,0,376135.23972151376
16681,2208,2,3,1,241841.23806384276
34021,2213,5,1,2,329213.5224714073
25558,1443,5,3,0,216714.47351703103
28825,2897,4,1,1,321366.42816042574
376,2183,5,1,0,215636.3058238462
33041,1711,2,1,0,171995.86517246527
40097,1030,3,2,1,150427.42669867046
29385,1009,2,2,2,141100.3198481675
19374,2986,4,2,1,306623.92290289525
19188,2578,2,1,0,178240.47022664614
9059,2811,5,1,1,290764.7253141151
17310,2963,4,1,2,284766.10223488405
27166,2244,4,2,1,305353.99961203884
34392,1101,2,2,2,59396.519979986304
40870,1938,5,1,0,183724.94583940803
14094,2046,5,2,0,203760.56202870084
21716,1578,3,2,1,166792.35196481008
40697,2850,3,1,2,275688.58830696973
15210,1827,2,3,2,93254.08186943646
46690,1540,2,3,1,164892.43721393097
36457,1678,3,1,0,218603.1251528842
28789,1796,3,2,2,201772.3550925112
11482,1533,2,2,0,149754.63516373048
42826,1790,4,3,0,113155.20605420916
38129,2376,3,2,2,298896.471331043
32806,2656,2,2,1,270336.66734329343
1299,2312,5,3,2,282074.2092470182
34554,2580,5,1,0,267992.0215341108
30056,1846,4,3,0,204185.60163791224
18000,1500,5,3,2,232146.6791652465
32085,2311,2,3,2,324442.4178069695
32274,1394,3,2,0,163492.34213423036
47911,2082,3,1,0,198581.10707527815
31959,2862,5,1,2,270553.1605485636
43704,1958,2,1,0,342127.5199256578
19590,1245,2,1,1,30285.57700696816
12533,1912,2,3,2,203698.43782620487
2127,2683,2,2,1,363457.5480266688
38034,1182,4,3,1,102205.25674381776
36672,2077,4,2,2,252618.3698172096
36698,2242,2,1,2,237325.97395973105
43943,1203,2,1,0,141925.22338160005
42699,1986,4,2,0,275332.67377737444
23135,2005,5,2,2,138154.05028147117
48930,1315,3,1,2,142847.4144691193
7654,2557,4,3,2,308200.3917057463
22731,2958,4,1,0,361117.5740680186
44632,2806,5,1,2,358224.08565598004
23015,2348,2,2,2,200293.05699610917
36611,1388,4,3,2,145901.01705713966
13968,2119,2,1,1,233735.90263828772
31853,1825,5,2,0,182060.5510941351
34250,1174,3,2,1,143125.3481076843
5977,1366,4,2,1,196201.42077080725
10130,2335,4,3,0,267256.9435463604
5874,2588,2,3,2,166018.489367791
20917,2327,4,2,2,320061.5455491533
6627,1103,4,1,0,22130.48727407951
26795,1819,5,3,0,248923.5769601264
44555,2520,4,3,0,306265.01335341344
14782,2034,5,1,2,187755.0858586892
49010,1794,2,3,0,157775.36316132644
31642,2739,3,1,1,326156.7188959904
18929,1413,2,2,2,257299.8613881751
17298,1120,4,1,2,150648.2195209613
37511,2194,3,2,1,203022.51775095315
12610,1317,5,1,1,212479.03566461627
9585,2117,4,1,1,283987.1767608902
47470,1078,2,2,1,116654.22836243451
13980,1980,4,3,1,210770.3218357137
4606,1257,4,1,2,10094.569663554488
1594,2024,2,1,0,249565.90458975325
3958,2753,5,1,1,338912.52249298536
12940,2269,5,3,2,315505.35170781537
26616,1290,4,3,2,198037.30296240293
21681,1530,5,1,2,90106.8780626357
418,2603,2,2,2,240369.9407103269
34584,1826,3,2,2,202848.5358965613
19736,2147,5,1,0,255275.66661998804
40375,1451,3,2,1,156788.76351989323
30016,2676,2,2,0,287146.49381079536
26764,2585,5,2,0,302122.66938704
10554,1510,5,1,2,281115.14899811684
46324,1272,4,1,0,117218.00699103763
1260,1125,5,1,2,127992.89209623911
26691,2359,3,2,0,314325.1826058342
12960,2824,4,1,2,309729.67860102176
11524,1069,3,2,1,54164.866580845584
2566,2150,2,2,0,131793.83259303053
8876,1515,3,2,0,313909.4814553408
15512,1444,5,1,1,151725.30328282574
15112,1335,4,1,1,237874.91669981327
37272,1518,3,2,0,233628.98332652648
42260,1786,5,3,0,218299.86515801636
7125,1912,4,1,2,172975.98578804263
23437,2794,4,2,2,355510.0448917325
39498,2215,2,2,0,242655.9912707668
1384,2665,4,3,1,310691.4933075554
47773,1114,4,2,1,165454.09524792217
17736,1289,3,3,1,105359.3164547259
48723,1745,4,3,2,203651.05616311624
27714,1566,5,2,1,220174.59030400607
9304,2091,4,1,2,293870.336910335
32686,1114,5,2,1,161986.80249984303
12472,2322,2,1,2,297412.98234326235
12506,2404,5,3,2,286151.6865623092
22203,2498,3,1,1,279313.15249045286
2520,1870,4,2,0,337177.2217495301
9023,2944,5,3,0,302183.07104551623
16743,2908,4,2,2,354769.3650064589
49535,2589,3,3,0,202804.4229025801
13965,2186,5,2,1,190077.3938544509
14218,1713,3,3,0,187368.0715194935
15737,2854,5,2,0,323182.61324765417
47685,2038,4,1,2,298105.33488002914
44304,2370,5,1,2,163092.69300046825
47105,1265,5,1,0,196353.5295594287
12582,1975,2,2,1,231033.56530904173
19290,1773,3,2,1,215766.29233741463
9266,2905,4,2,2,257339.8036406528
25669,1139,3,2,0,121582.51081778452
8625,1480,3,2,2,189347.35420718888
31303,2523,5,2,0,225933.18061939665
